userId,timestamp,review,item,rating,helpfulness,gender,category
4259,11900,"Finally, Something for (Relatively) Nothing",MyPoints.com,4.0,4.0,F,Online Stores & Services
4259,12000,Shocking!,Sixth Sense,5.0,4.0,F,Movies
4259,12000,Simply Shaggadelic!,Austin Powers: The Spy Who Shagged Me,5.0,4.0,F,Movies
4259,12000,Better Than The First!,Toy Story 2,5.0,3.0,F,Movies
4259,12000,Blair Witch made me appreciate this,Star Wars Episode I: The Phantom Menace,2.0,4.0,F,Movies
4259,12100,Come here at least once in your life... stay a lifetime,New York City,5.0,4.0,F,Hotels & Travel
4259,12400,"I joined for the free camera, and stood for no disconections",Earthlink,5.0,3.0,F,Online Stores & Services
4259,12700,They Should've Fooled the American Public,Blair Witch Project,1.0,4.0,F,Movies
4259,51600,A Short List of Things to Remember in NYC,New York City,5.0,4.0,F,Hotels & Travel
4259,60200,Do you know what a metaphysical can of worms this portal is?,Being John Malkovich,5.0,4.0,F,Movies
4259,60200,The Sims: Better Than Illegal Drugs (Not That I Would Know),The Sims 2: Open for Business for Windows,5.0,4.0,F,Games
4272,11006,M. Night Shyamalan's finest moment: Unbreakable (2000),Unbreakable,5.0,4.0,M,Movies
4272,12506,Erin Brockovich: That movie where Julia Roberts swears,Erin Brockovich,4.0,4.0,M,Movies
4272,22401,"Another Cast Away review, that's all this place needs.",Cast Away,4.0,4.0,M,Movies
4272,31901,"I Just Figured, What the Hell.","Crouching Tiger, Hidden Dragon",5.0,4.0,M,Movies
4272,60204,Final Fantasy VIII for Dummies,Final Fantasy VIII for PlayStation 1,4.0,4.0,M,Games
4272,71403,"David Fincher's Fight Club, it's a Near-Life Experience.",Fight Club,5.0,4.0,M,Movies
4272,80901,"I got the Ocarina part, I just can't find the Time!",The Legend Of Zelda Ocarina Of Time for Nintendo 64,4.0,4.0,M,Games
4272,81104,Beauty Has No Opposite (Oxymoron Write-Off),American Beauty,4.0,4.0,M,Movies
4272,81902,"I was on vacation, so I reloaded The Matrix",Matrix,5.0,4.0,M,Movies
4272,92404,"Star Wars, Episode I: The Phantom Menace (1999)",Star Wars Episode I: The Phantom Menace,4.0,4.0,M,Movies
4272,101404,Oh my God!  What's up with Harrison Ford? What Lies Beneath (2000),What Lies Beneath,3.0,4.0,M,Movies
4272,120304,"Sometimes the past catches up to you, whether you want it to or not",Green Mile,4.0,4.0,M,Movies
4272,121200,Did you get those Google Clusters I sent you?,Google,5.0,4.0,M,Online Stores & Services
4280,10901,'Unbreakable' is UN-MISS-ABLE !,Unbreakable,5.0,4.0,F,Movies
4280,52101,THE PERFECT SOLUTION,PayPal,5.0,4.0,F,Personal Finance
4280,81302,CONFESSIONS OF AN EBAY VIRGIN,eBay,5.0,4.0,F,Online Stores & Services
4280,91900,"GAMBLING, GLAMOUR and GLUTTONY - PART 3: DINNER",Las Vegas,5.0,4.0,F,Hotels & Travel
4280,91900,"GAMBLING, GLAMOUR and GLUTTONY - PART 2: LUNCH",Las Vegas,5.0,4.0,F,Hotels & Travel
4280,91900,"GAMBLING, GLAMOUR and GLUTTONY - PART 1: BREAKFAST",Las Vegas,5.0,4.0,F,Hotels & Travel
4280,100100,Vegas - What's Hot &amp; What's Not - Part 2,Las Vegas,5.0,4.0,F,Hotels & Travel
4280,100100,Vegas - What's Hot &amp; What's Not - Part 1,Las Vegas,5.0,4.0,F,Hotels & Travel
4280,100200,Vegas - What's Hot &amp; What's Not - Part 3,Las Vegas,5.0,4.0,F,Hotels & Travel
4280,100300,Vegas - What's Hot &amp; What's Not - Part 4,Las Vegas,5.0,4.0,F,Hotels & Travel
4280,102500,Better than 'Psycho'...!,What Lies Beneath,5.0,4.0,F,Movies
4322,12900,Perfect,The Legend Of Zelda Ocarina Of Time for Nintendo 64,5.0,4.0,M,Games
4322,12900,"Not bad, but not a classic",Deep Blue Sea,4.0,3.0,M,Movies
4322,20400,Easy Money...For Real,All Advantage,4.0,4.0,M,Online Stores & Services
4322,21100,Not what it once was,MTV,2.0,4.0,M,Media
4322,21101,Diablo II-Greatest PC Game Yet,Diablo 2 - Bestseller Series for Windows,5.0,4.0,M,Games
4322,30100,Terrible,Spedia,1.0,4.0,M,Online Stores & Services
4322,61200,Take A New Look At Ancient Times,Gladiator,5.0,4.0,M,Movies
4322,80600,I Lost My Mojo!,Austin Powers: The Spy Who Shagged Me,5.0,3.0,M,Movies
4322,90401,eBay-Great Place To Buy and Sell The Way You Want,eBay,5.0,4.0,M,Online Stores & Services
4322,110300,PS2-A New Standard,Sony PlayStation 2 Slimline Console,5.0,4.0,M,Games
4322,120100,The Perfect Storm-Barely Decent,Perfect Storm,2.0,4.0,M,Movies
4332,10600,American Airheadlines,American Airlines,2.0,4.0,F,Hotels & Travel
4332,11400,The Simpson's is Adult Humor Education 101,"Simpsons, The",5.0,4.0,F,Kids & Family
4332,50200,Convience at the cost of good health?,McDonald's,1.0,4.0,F,Restaurants & Gourmet
4332,52600,Mission Impossible 2: See it to be Wooed!,Mission: Impossible II,3.0,4.0,F,Movies
4332,71000,GEW: My Beef with Burger King,Burger King,1.0,4.0,F,Restaurants & Gourmet
4332,80100,The Perfect Storm - As good as Armageddon!,Perfect Storm,1.0,4.0,F,Movies
4332,110100,"&quot;I wanna quit the AOL&quot;, or how I learned to get AOL for free",AOL (America Online),2.0,4.0,F,Online Stores & Services
4332,122999,"To AOL, or not to AOL?",AOL (America Online),3.0,4.0,F,Online Stores & Services
4370,11400,GoldenEyE 007: Revolution in shoot em up's,Golden Eye 007 for Nintendo 64,5.0,4.0,M,Games
4370,11500,A ReVoLuTion in Surfing,All Advantage,5.0,4.0,M,Online Stores & Services
4370,11500,Dont be Tricked into Signing your Soul with spedia,Spedia,1.0,4.0,M,Online Stores & Services
4370,12400,THERE IS NOTHING GOOD ABOUT AOL,AOL (America Online),1.0,4.0,M,Online Stores & Services
4370,12500,FoX a Public Broadcast association,FOX,4.0,4.0,M,Media
4370,12500,"TRL, say what karokee etc",MTV,2.0,4.0,M,Media
4370,21300,anticipated movie?,Scream 3,1.0,3.0,M,Movies
4370,32501,Save yourself a good 20 bucks,NetZero,4.0,3.0,M,Online Stores & Services
4391,12500,Mama Wouldn't Lie To You,AOL (America Online),3.0,4.0,M,Online Stores & Services
4391,51500,Blow Smoke in Wendy's Face?,Wendy's,2.0,4.0,M,Restaurants & Gourmet
4391,52000,"Alien Squid Need Love, Too!",Galaxy Quest,4.0,4.0,M,Movies
4391,52700,"Shakespearian Food-&quot;Horrible, horrible, most horrible.&quot;",McDonald's,2.0,4.0,M,Restaurants & Gourmet
4391,53100,The King is dead-or at least gravely ill...,Burger King,2.0,4.0,M,Restaurants & Gourmet
4391,71900,Are You a Transsexual With a Story to Tell?,NBC,2.0,4.0,M,Media
4391,120400,"Hasta La Vista, Alta Vista...",Alta Vista (by 1stUp),4.0,4.0,M,Online Stores & Services
46,21003,"eBay ? Confessions of A Shopaholic, Lego Junkie & Toy Freak",eBay,4.0,4.0,M,Online Stores & Services
46,22203,Spedia - The Gateway To Cyber-Advertising Hell,Spedia,1.0,4.0,M,Online Stores & Services
46,43003,"Satan Buys AOL, Introduces Version 666 And Gives It The Name It Deserves - AOHELL",AOL (America Online),3.0,4.0,M,Online Stores & Services
46,51503,Netflix Didn?t Even Kiss Me After They Screwed Me.....,NetFlix,3.0,4.0,M,Online Stores & Services
46,51704,You?re Better Off Looking That Proverbial Needle-In-A-Haystack Than A Sample From This Site,StartSampling.Com,3.0,4.0,M,Online Stores & Services
46,70203,Blogger!  Pop Up Blockers!  Page Rankings!  Pornography!  Images!  Three Billion Web Pages!  Free Toolbar!  ,Google,5.0,4.0,M,Online Stores & Services
46,81401,Who The Hell Stole My Breadsticks ??!!??,Olive Garden,2.0,4.0,M,Restaurants & Gourmet
46,81800,Freeride 101 - The basics and beyond.,FreeRide.com,5.0,4.0,M,Online Stores & Services
46,81802,"Steals, Bottom-of-the-Page Deals, Toy Outlet, Gold Box Offers, Segway HT & Now ==Amazon Trivia==!  ",Amazon.com,4.0,4.0,M,Online Stores & Services
46,100701,McDonhell's - McFreak Get's A McJob.,McDonald's,1.0,4.0,M,Restaurants & Gourmet
46,102210,The Blair Witch Project: The Most Elaborate Movie Hoax Ever,Blair Witch Project,4.0,4.0,M,Movies
46,120402,My Points - A Great Example of How To Survive The Dot Com Downfall,MyPoints.com,4.0,4.0,M,Online Stores & Services
4452,11600,I wasn't sure at first,All Advantage,5.0,4.0,F,Online Stores & Services
4452,22407,A Better Alternative,Subway,3.0,4.0,F,Restaurants & Gourmet
4452,43000,The Golden Arches,McDonald's,3.0,4.0,F,Restaurants & Gourmet
4452,50201,Sample Products and Earn Points,StartSampling.Com,4.0,4.0,F,Online Stores & Services
4452,50401,Learn How to Sell on eBay ,eBay,4.0,4.0,F,Online Stores & Services
4452,52701,Shrieken Shrek,Shrek,4.0,4.0,F,Movies
4452,73000,Affiliate Warning,Priceline Flight Reservations,1.0,4.0,F,Online Stores & Services
4452,91000,Open Letter to the Powers That Be,PayPal,5.0,4.0,F,Personal Finance
4452,91500,From All Advantage to No Advantage,All Advantage,2.0,4.0,F,Online Stores & Services
4452,110606,Exactly as expected,Amazon.com,5.0,4.0,F,Online Stores & Services
4452,112500,Awaiting Unbreakable 2 - With a Vengeance,Unbreakable,4.0,4.0,F,Movies
4492,11000,Family Fun for all ages,Toy Story 2,5.0,3.0,M,Movies
4492,11500,Worst Music Channel,MTV,1.0,4.0,M,Media
4492,11800,"Wacky, Trippy and Wonderful",Being John Malkovich,4.0,4.0,M,Movies
4492,12000,Free Animated E Greetings,Blue Mountain Arts eCards,5.0,3.0,M,Online Stores & Services
4492,13007,Bank of America  is a joke,Bank of America,1.0,4.0,M,Personal Finance
4492,60901,Not a children's movie!,Shrek,4.0,3.0,M,Movies
4492,61200,Beautiful but underdone,Sleepy Hollow,3.0,3.0,M,Movies
75,11400,Teletubbies? No.,Teletubbies,1.0,4.0,M,Kids & Family
75,11500,Ebay is E-Day! ('good' in Furbish),eBay,5.0,4.0,M,Online Stores & Services
75,11500,Free money! Anyone takers?,All Advantage,1.0,4.0,M,Online Stores & Services
75,11500,Aol? What a joke.,AOL (America Online),1.0,4.0,M,Online Stores & Services
75,12000,Misc. Television,MTV,1.0,4.0,M,Media
